City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hawaiian paradise park,19.5933,-154.9731,298.65,79,40,1.54,US,1683754133
83,fort bragg,35.139,-79.006,299.23,32,0,4.63,US,1683754134
84,kitaibaraki,36.7833,140.75,284.34,90,95,2.6,JP,1683754135
85,bardai,11.65,7.2333,302.88,27,100,1.63,NG,1683754135
86,minbu,20.1833,94.8833,303.12,55,95,2.57,MM,1683754137
87,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,93,75,2.0,RU,1683754138
88,invercargill,-46.4,168.35,281.49,95,78,1.34,NZ,1683753991
89,bredasdorp,-34.5322,20.0403,287.52,93,84,2.71,ZA,1683754139
90,sirjan,29.452,55.6814,293.84,31,54,2.12,IR,1683754140
91,hasaki,35.7333,140.8333,288.83,62,78,6.81,JP,1683754141
92,smithers,54.7804,-127.1743,289.33,41,75,3.09,CA,1683754144
93,badger,64.8,-147.5333,288.29,36,75,2.57,US,1683754151
94,zaozersk,69.4005,32.4476,275.79,100,100,2.8,RU,1683754154
95,east london,-33.0153,27.9116,292.88,55,11,4.28,ZA,1683754156
96,kodiak,57.79,-152.4072,278.88,93,100,11.83,US,1683754158
97,boguchany,58.3814,97.4531,271.97,78,2,0.46,RU,1683754161
98,helena valley west central,46.6629,-112.0604,291.56,33,0,1.54,US,1683754162
99,kapuskasing,49.4169,-82.4331,296.2,21,40,3.6,CA,1683754085
100,longyearbyen,78.2186,15.6401,274.06,80,75,6.69,SJ,1683754003
101,formosa,-26.1775,-58.1781,296.14,70,0,1.03,AR,1683754166
102,richards bay,-28.783,32.0377,293.14,87,53,1.73,ZA,1683754167
103,pazarcik,37.4869,37.2996,285.26,63,58,1.8,TR,1683754168
104,shahrak,34.1074,64.3052,288.88,25,98,0.76,AF,1683754169
105,azuaga,38.2667,-5.6833,292.1,22,100,5.46,ES,1683754170
106,obigarm,38.7173,69.7088,285.67,47,52,3.67,TJ,1683754172
107,atafu village,-8.5421,-172.5159,302.37,76,9,7.67,TK,1683754173
108,udachny,66.4167,112.4,263.4,56,12,3.27,RU,1683754174
109,septemvri,42.2167,24.1,284.05,86,100,2.85,BG,1683754175
110,porto novo,6.4965,2.6036,302.05,78,98,3.78,BJ,1683753946
111,le vauclin,14.5452,-60.8388,302.18,65,100,6.17,MQ,1683754178
112,long beach,33.767,-118.1892,295.55,64,0,5.14,US,1683753958
113,papatowai,-46.5619,169.4708,280.72,73,100,7.28,NZ,1683754181
114,santiago de cao,-7.9589,-79.2392,296.22,83,75,5.14,PE,1683754182
115,nemuro,43.3236,145.575,277.59,89,12,4.6,JP,1683754183
116,howrah,22.5892,88.3103,303.15,79,40,3.6,IN,1683753995
117,iskateley,67.6803,53.1512,267.7,91,84,1.16,RU,1683754185
118,minas de marcona,-15.2119,-75.1103,292.68,62,0,6.0,PE,1683754186
119,thompson,55.7435,-97.8558,289.24,63,75,2.57,CA,1683753909
120,kangding,30.0513,101.9603,278.37,96,96,2.24,CN,1683754188
121,uusikaupunki,60.8004,21.4084,279.65,74,97,4.39,FI,1683754189
122,puerto ayora,-0.7393,-90.3518,303.13,91,54,2.68,EC,1683754190
123,dombarovskiy,50.7587,59.5386,280.6,87,26,5.12,RU,1683754192
124,nantucket,41.2835,-70.0995,291.18,66,0,8.75,US,1683753975
125,pike road,32.2843,-86.103,301.98,39,100,1.51,US,1683754168
126,klaksvik,62.2266,-6.589,282.42,85,95,2.23,FO,1683754194
127,hwange,-18.3693,26.5019,291.47,54,2,0.81,ZW,1683754195
128,pathein,16.7833,94.7333,300.7,77,97,1.47,MM,1683754196
129,sangin,32.0728,64.8359,300.83,13,90,0.75,AF,1683754197
130,arraial do cabo,-22.9661,-42.0278,295.13,94,100,1.03,BR,1683754197
131,talnakh,69.4865,88.3972,250.61,85,10,1.03,RU,1683754198
132,trinidad,-14.8333,-64.9,299.14,78,75,1.54,BO,1683754200
133,anadyr,64.75,177.4833,273.43,80,0,4.0,RU,1683754201
134,isangel,-19.55,169.2667,297.21,94,75,1.03,VU,1683754205
135,tafuna,-14.3358,-170.72,303.12,84,75,5.66,AS,1683754213
136,arteche,12.2645,125.4048,299.45,87,100,1.75,PH,1683754217
137,lata,40.1629,-8.3327,288.6,84,92,1.87,PT,1683754220
138,taltal,-25.4,-70.4833,291.9,76,23,1.98,CL,1683754222
139,cadale,2.7603,46.3222,300.06,84,34,7.57,SO,1683754223
140,west island,-12.1568,96.8225,300.14,94,75,3.6,CC,1683754225
141,gadzhiyevo,69.2551,33.3362,276.0,100,100,3.14,RU,1683754227
142,nago,26.5881,127.9761,291.62,68,2,3.81,JP,1683754228
143,ciudad bolivar,8.1222,-63.5497,308.84,30,97,5.3,VE,1683754083
144,san luis,-33.295,-66.3356,293.46,46,53,0.78,AR,1683754063
145,puerto yuca,2.9383,-73.2083,296.78,93,99,1.42,CO,1683754234
146,isafjordur,66.0755,-23.124,279.32,92,99,1.09,IS,1683754236
147,uturoa,-16.7333,-151.4333,300.91,78,91,9.22,PF,1683754237
148,bad arolsen,51.3798,9.0145,285.02,95,100,0.6,DE,1683754238
149,lihue,21.9789,-159.3672,299.73,67,0,5.66,US,1683754240
150,tonekabon,36.8163,50.8738,288.12,81,10,1.95,IR,1683754241
151,kajaani,64.2273,27.7285,286.18,47,0,4.12,FI,1683753989
152,kapa'a,22.0752,-159.319,300.14,67,0,5.66,US,1683754243
153,phek,25.6667,94.5,284.68,70,18,1.02,IN,1683754244
154,margaret river,-33.95,115.0667,287.65,56,84,4.69,AU,1683754245
155,quellon,-43.1167,-73.6167,286.29,100,100,3.6,CL,1683754246
156,forster,-32.1667,152.5167,287.84,76,100,2.32,AU,1683754247
157,itamaraca,-7.7478,-34.8256,301.18,82,19,3.24,BR,1683754253
158,san jacinto,33.7839,-116.9586,294.22,61,45,2.68,US,1683754109
159,gaspe,48.8334,-64.4819,283.27,23,100,4.63,CA,1683754255
160,praia da vitoria,38.7333,-27.0667,291.29,77,75,6.78,PT,1683754255
161,eydhafushi,5.1033,73.0708,301.71,77,100,5.24,MV,1683754256
162,la pineda,41.0762,1.1852,291.66,72,20,2.06,ES,1683754257
163,tosontsengel,48.7567,98.2839,277.69,69,95,5.64,MN,1683754258
164,boromo,11.75,-2.9333,307.71,22,45,3.29,BF,1683754259
165,happy valley-goose bay,53.3168,-60.3315,280.32,31,75,6.69,CA,1683754102
166,dhidhdhoo,6.8833,73.1,302.12,77,100,2.61,MV,1683754260
167,yellowknife,62.456,-114.3525,290.44,31,40,5.14,CA,1683753970
168,mitu,1.1983,-70.1733,295.5,98,100,0.51,CO,1683754262
169,port saint john's,-31.6229,29.5448,291.98,69,35,3.48,ZA,1683754263
170,port elizabeth,-33.918,25.5701,294.44,50,0,1.54,ZA,1683754265
171,jiazi,22.8779,116.067,294.51,76,81,4.56,CN,1683754266
172,kimbe,-5.5502,150.1429,299.98,85,99,0.92,PG,1683754268
173,gornyatskiy,48.2915,40.9575,280.19,94,100,3.66,RU,1683754270
174,mo i rana,66.3128,14.1428,282.22,73,75,2.57,NO,1683754274
175,leava,-14.3,-178.1667,301.69,74,13,5.1,WF,1683754275
176,mount isa,-20.7333,139.5,281.02,46,0,2.06,AU,1683754183
177,usinsk,65.9939,57.5281,271.79,81,98,2.36,RU,1683754278
178,saint-philippe,-21.3585,55.7679,294.92,78,85,5.34,RE,1683754279
179,kokopo,-4.352,152.2633,300.18,79,63,1.23,PG,1683754280
180,prishibinskoye,39.1196,48.5936,288.03,93,3,0.84,AZ,1683754281
181,fortuna,40.5982,-124.1573,288.11,82,100,4.12,US,1683754282
182,knyaze-volkonskoye,48.4642,135.4567,278.34,62,74,2.56,RU,1683754284
183,halmstad,56.6745,12.8568,286.26,41,17,5.14,SE,1683754255
184,tres arroyos,-38.3739,-60.2798,281.94,76,76,2.89,AR,1683754286
185,puerto baquerizo moreno,-0.9,-89.6,300.7,83,75,5.14,EC,1683754287
186,sitka,57.0531,-135.33,285.09,66,40,2.57,US,1683754288
187,joensuu,62.6012,29.7632,281.42,64,0,1.54,FI,1683754289
188,correntina,-13.3433,-44.6367,300.13,43,68,1.17,BR,1683754290
189,grand falls-windsor,48.9332,-55.6649,279.54,48,85,2.24,CA,1683754291
190,pisco,-13.7,-76.2167,295.18,68,0,7.2,PE,1683754293
191,rizokarpaso,35.6,34.375,292.24,72,100,2.91,CY,1683754294
192,asau,46.4333,26.4,280.66,90,46,1.12,RO,1683754296
193,blagoveshchensk,50.2667,127.5333,273.49,51,0,0.0,RU,1683754297
194,port douglas,-16.4833,145.4667,295.95,81,36,4.86,AU,1683754298
195,ghat,24.9647,10.1728,296.03,25,17,3.06,LY,1683754299
196,nurota,40.5614,65.6886,296.76,22,100,1.85,UZ,1683754300
197,chishtian,29.8,72.8667,303.09,17,78,2.28,PK,1683754301
198,dwarka,22.2394,68.9678,301.43,75,6,5.25,IN,1683754302
199,tenenkou,14.4572,-4.9169,308.87,8,100,6.36,ML,1683754302
200,qaisumah,28.3112,46.1273,301.13,36,0,3.09,SA,1683754303
201,ilulissat,69.2167,-51.1,273.16,64,32,9.77,GL,1683754304
202,vilyuysk,63.7553,121.6247,270.93,71,10,2.69,RU,1683754305
203,zemio,5.0314,25.1361,294.29,89,83,1.14,CF,1683754306
204,colonia,50.9333,6.95,286.96,83,20,1.03,DE,1683754123
205,sal rei,16.1833,-22.9167,295.13,84,7,6.47,CV,1683754308
206,kirakira,-10.4544,161.9205,301.63,79,82,4.61,SB,1683754309
207,baharly,38.4362,57.4316,295.77,59,100,1.62,TM,1683754310
208,polyarnyy,69.1989,33.4478,276.34,99,100,3.46,RU,1683754310
209,chachapoyas,-6.2317,-77.869,289.12,88,68,0.91,PE,1683754311
210,phan rang-thap cham,11.5667,108.9833,298.6,87,76,0.65,VN,1683754312
211,vila franca do campo,37.7167,-25.4333,290.38,93,39,2.61,PT,1683754220
212,le port,-20.9373,55.2919,298.13,87,42,2.71,RE,1683754314
213,ramhormoz,31.28,49.6035,302.54,16,45,3.62,IR,1683754315
214,nelson bay,-32.7167,152.15,286.48,91,91,4.92,AU,1683754315
215,inhambane,-23.865,35.3833,293.17,89,0,1.98,MZ,1683754316
216,chon buri,13.3,101.3,303.34,99,65,1.67,TH,1683754317
217,yajalon,17.2333,-92.3333,307.05,21,1,2.57,MX,1683754318
218,labuan,5.2767,115.2417,299.35,89,20,0.0,MY,1683754319
219,st. john's,47.5649,-52.7093,280.81,45,40,8.23,CA,1683754281
220,chyorny yar,48.0624,46.1091,284.52,92,100,3.51,RU,1683754320
221,morant bay,17.8815,-76.4093,305.77,72,18,5.64,JM,1683754321
222,nathdwara,24.9333,73.8167,301.8,19,0,4.34,IN,1683754322
223,pinarhisar,41.6242,27.52,280.92,84,84,4.65,TR,1683754324
224,weno,7.4515,151.8468,301.12,89,100,2.57,FM,1683754325
225,qaqortoq,60.7167,-46.0333,276.47,91,100,3.61,GL,1683754327
226,abong mbang,3.9833,13.1833,294.54,96,89,1.13,CM,1683754328
227,new norfolk,-42.7826,147.0587,277.99,84,8,1.1,AU,1683754329
228,fisterra,42.9049,-9.2629,287.45,69,88,7.71,ES,1683754330
229,carutapera,-1.195,-46.02,298.41,90,94,2.45,BR,1683754331
230,maceio,-9.6658,-35.7353,298.84,88,20,2.57,BR,1683754334
231,shar'ya,58.3686,45.5144,278.52,93,28,1.46,RU,1683754335
232,arica,-18.475,-70.3042,295.9,73,0,4.63,CL,1683754337
233,essaouira,31.5125,-9.77,293.04,70,0,11.62,MA,1683754337
234,tokar,18.4254,37.729,299.19,64,96,2.6,SD,1683754339
235,trinity beach,-16.7888,145.6968,296.09,78,75,4.63,AU,1683754340
236,chonchi,-42.6128,-73.8092,287.1,98,100,1.93,CL,1683754341
237,enewetak,11.3474,162.3373,300.81,83,85,6.75,MH,1683754342
238,santa cruz,-17.8,-63.1667,297.85,64,75,7.2,BO,1683754320
239,lazaro cardenas,17.9583,-102.2,303.28,61,0,5.56,MX,1683754344
240,tommot,58.9564,126.2925,275.36,100,99,1.21,RU,1683754345
241,seaside,36.6111,-121.8516,292.44,68,75,3.6,US,1683754138
242,la'ie,21.6477,-157.9253,301.13,78,8,5.6,US,1683754348
243,sao vicente,-23.9631,-46.3919,296.25,59,100,1.03,BR,1683754120
244,yushu,44.8,126.5333,284.14,44,0,1.68,CN,1683754350
245,novodvinsk,64.4165,40.8122,279.35,87,79,2.43,RU,1683754351
246,punta arenas,-53.15,-70.9167,279.21,87,100,4.63,CL,1683754352
247,georgetown,5.4112,100.3354,302.01,93,20,2.06,MY,1683754206
248,sinabang,2.4803,96.3801,300.41,81,100,3.42,ID,1683754355
249,zheleznogorsk,52.331,35.3711,278.13,72,63,3.18,RU,1683754356
250,chui,-33.6971,-53.4616,287.15,69,45,5.0,UY,1683754357
251,atherton,53.5237,-2.4935,286.07,88,77,2.19,GB,1683754358
252,myeik,12.4333,98.6,299.81,84,100,1.72,MM,1683754359
